item_type,file,key_a,key_b,label,origin,source_db,source_ref,pmid,doi,nct_id,chembl_id,mesh_id,drugbank_id,source_url,source_title,source_journal_year,retrieved_on,query_used,evidence_level,verdict,verification,ref_url,note
disease_node,omics/disease.csv,454,D064726,Triple Negative Breast Neoplasms,data-v2 (TNBC),NLM MeSH SPARQL,MeSH descriptor D064726,,,,,D064726,,https://id.nlm.nih.gov/mesh/sparql,,,2026-07-22,"SPARQL: SELECT ?d ?label WHERE { ?d a meshv:TopicalDescriptor . ?d rdfs:label ?label . FILTER(CONTAINS(LCASE(?label),""triple negative"")) }",,SUPPORTED,NLM MeSH SPARQL 查得 descriptor,https://meshb.nlm.nih.gov/record/ui?ui=D064726,資料集原本只有籠統的 D001943 Breast Neoplasms
disease_node,omics/disease.csv,455,D006973,寵物-Hypertension,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"ACVIM consensus statement 2018 (Acierno et al., J Vet Intern Med 32:1803-1822)",30353952,,,,D006973,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6271319/,,"ACVIM consensus statement 2018 (Acierno et al., J Vet Intern Med 32:1803-1822)",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://pubmed.ncbi.nlm.nih.gov/30353952/,"In dogs and cats hypertension is predominantly SECONDARY to an identifiable underlying disease, with idiopathic hypertension accounting for only ~13-2"
disease_node,omics/disease.csv,456,D001249,寵物-Asthma,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"MSD/Merck Vet Manual, Feline Bronchial Asthma",,,,,D001249,,https://www.merckvetmanual.com/respiratory-system/respiratory-diseases-of-small-animals/feline-bronchial-asthma,,"MSD/Merck Vet Manual, Feline Bronchial Asthma",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,EQUIVALENT,跨物種病種查證(pet_bridges_provenance.csv),https://www.merckvetmanual.com/respiratory-system/respiratory-diseases-of-small-animals/feline-bronchial-asthma,
disease_node,omics/disease.csv,457,D003876,"寵物-Dermatitis, Atopic",KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"ICADA 2023 updated definition (Eisenschenk et al., Vet Dermatol 2024;35(1):3-4, doi:10.1111/vde.13183)",,,,,D003876,,https://onlinelibrary.wiley.com/doi/10.1111/vde.13183,,"ICADA 2023 updated definition (Eisenschenk et al., Vet Dermatol 2024;35(1):3-4, doi:10.1111/vde.13183)",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,EQUIVALENT,跨物種病種查證(pet_bridges_provenance.csv),https://onlinelibrary.wiley.com/doi/10.1111/vde.13183,
disease_node,omics/disease.csv,458,D001943,寵物-Breast Neoplasms,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"Razavirad et al., 'Canine Mammary Tumors as a Potential Model for Human Breast Cancer in Comparative Oncology', Vet Med Int 2024",,,,,D001943,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101259/,,"Razavirad et al., 'Canine Mammary Tumors as a Potential Model for Human Breast Cancer in Comparative Oncology', Vet Med Int 2024",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101259/,Roughly half of canine mammary tumours are benign and mixed (myoepithelial-containing) tumours are the single most common canine type despite being ra
disease_node,omics/disease.csv,459,D001932,寵物-Brain Neoplasms,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"'Canine Primary Intracranial Cancer: A Clinicopathologic and Comparative Review of Glioma, Meningioma, and Choroid Plexus Tumors' (PMC6856054)",,,,,D001932,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6856054/,,"'Canine Primary Intracranial Cancer: A Clinicopathologic and Comparative Review of Glioma, Meningioma, and Choroid Plexus Tumors' (PMC6856054)",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,EQUIVALENT,跨物種病種查證(pet_bridges_provenance.csv),https://pmc.ncbi.nlm.nih.gov/articles/PMC6856054/,
disease_node,omics/disease.csv,460,D010003,寵物-Osteoarthritis,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"'Spontaneous dog osteoarthritis - a One Medicine vision', Nature Reviews Rheumatology 2019 (PMC7097182)",,,,,D010003,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7097182/,,"'Spontaneous dog osteoarthritis - a One Medicine vision', Nature Reviews Rheumatology 2019 (PMC7097182)",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,EQUIVALENT,跨物種病種查證(pet_bridges_provenance.csv),https://pmc.ncbi.nlm.nih.gov/articles/PMC7097182/,
disease_node,omics/disease.csv,461,D001172,"寵物-Arthritis, Rheumatoid",KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"MSD/Merck Vet Manual, Immune-Mediated Polyarthritis in Dogs and Cats",,,,,D001172,,https://www.merckvetmanual.com/musculoskeletal-system/arthropathies-and-related-disorders-in-small-animals/immune-mediated-polyarthritis-in-dogs-and-cats,,"MSD/Merck Vet Manual, Immune-Mediated Polyarthritis in Dogs and Cats",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://www.merckvetmanual.com/musculoskeletal-system/arthropathies-and-related-disorders-in-small-animals/immune-mediated-polyarthritis-in-dogs-and-cats,Canine/feline RA is a RARE erosive subset of immune-mediated polyarthritis - non-erosive IMPA is far more common and is the disease usually being trea
disease_node,omics/disease.csv,462,D003924,"寵物-Diabetes Mellitus, Type 2",KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"'Comparative Pharmacological and Pharmaceutical Perspectives on Antidiabetic Therapies in Humans, Dogs, and Cats' (PMC12472474); also Henson & O'Brien, ILAR J 2006;47(3):234, 'Feline Models of Type 2 Diabetes Mellitus'",,,,,D003924,,https://pmc.ncbi.nlm.nih.gov/articles/PMC12472474/,,"'Comparative Pharmacological and Pharmaceutical Perspectives on Antidiabetic Therapies in Humans, Dogs, and Cats' (PMC12472474); also Henson & O'Brien, ILAR J 2006;47(3):234, 'Feline Models of Type 2 Diabetes Mellitus'",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://pmc.ncbi.nlm.nih.gov/articles/PMC12472474/,"Type 2 diabetes is genuinely feline-only among pets - cats show insulin resistance, obesity and islet amyloidosis with IAPP differing from human by on"
disease_node,omics/disease.csv,463,D054198,寵物-Precursor Cell Lymphoblastic Leukemia-Lymphoma,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"Avery AC, 'The Genetic and Molecular Basis for Canine Models of Human Leukemia and Lymphoma', Front Oncol 2020;10:23",32038991,,,,D054198,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6992561/,,"Avery AC, 'The Genetic and Molecular Basis for Canine Models of Human Leukemia and Lymphoma', Front Oncol 2020;10:23",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://pubmed.ncbi.nlm.nih.gov/32038991/,"Canine ALL is almost always T-cell in origin, arises in middle-aged/older dogs (median 7-8 years) and is near-uniformly fatal (median survival 25-50 d"
disease_node,omics/disease.csv,464,D015470,"寵物-Leukemia, Myeloid, Acute",KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"Vet Clin Pathol 1991, 'Proposed criteria for classification of acute myeloid leukemia in dogs and cats' (human FAB/NCI criteria adapted)",12673541,,,,D015470,,https://pubmed.ncbi.nlm.nih.gov/12673541/,,"Vet Clin Pathol 1991, 'Proposed criteria for classification of acute myeloid leukemia in dogs and cats' (human FAB/NCI criteria adapted)",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,EQUIVALENT,跨物種病種查證(pet_bridges_provenance.csv),https://pubmed.ncbi.nlm.nih.gov/12673541/,
disease_node,omics/disease.csv,465,D009101,寵物-Multiple Myeloma,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"MSD Vet Manual, 'Gammopathies in Animals'",,,,,D009101,,https://www.msdvetmanual.com/immune-system/immunologic-diseases/gammopathies-in-animals,,"MSD Vet Manual, 'Gammopathies in Animals'",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,EQUIVALENT,跨物種病種查證(pet_bridges_provenance.csv),https://www.msdvetmanual.com/immune-system/immunologic-diseases/gammopathies-in-animals,
disease_node,omics/disease.csv,466,D010437,寵物-Peptic Ulcer,KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"MSD Vet Manual, 'Gastrointestinal Ulcers in Small Animals'",,,,,D010437,,https://www.msdvetmanual.com/digestive-system/diseases-of-the-stomach-in-small-animals/gastrointestinal-ulcers-in-small-animals,,"MSD Vet Manual, 'Gastrointestinal Ulcers in Small Animals'",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://www.msdvetmanual.com/digestive-system/diseases-of-the-stomach-in-small-animals/gastrointestinal-ulcers-in-small-animals,"Human peptic ulcer is dominated by Helicobacter pylori plus NSAIDs, whereas canine/feline gastroduodenal ulcers are attributed to NSAIDs/glucocorticoi"
disease_node,omics/disease.csv,467,D005902,"寵物-Glaucoma, Open-Angle",KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"MSD Vet Manual, 'Glaucoma in Animals'",,,,,D005902,,https://www.msdvetmanual.com/eye-diseases-and-disorders/ophthalmology/glaucoma-in-animals,,"MSD Vet Manual, 'Glaucoma in Animals'",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://www.msdvetmanual.com/eye-diseases-and-disorders/ophthalmology/glaucoma-in-animals,"Canine POAG is a rare early-onset monogenic recessive disease of a few breeds (Beagle and Norwegian Elkhound via ADAMTS10, Basset Hound via ADAMTS17) "
disease_node,omics/disease.csv,468,D008178,"寵物-Lupus Erythematosus, Cutaneous",KPet(人工建立),MeSH (NLM) — 沿用橋接人類病的 MeSH,"BMC Vet Res 2018, 'Cutaneous lupus erythematosus in dogs: a comprehensive review'",29669547,,,,D008178,,https://pubmed.ncbi.nlm.nih.gov/29669547/,,"BMC Vet Res 2018, 'Cutaneous lupus erythematosus in dogs: a comprehensive review'",2026-07-22,人工建立(同名複製人類病);事後經 agent 查證跨物種病種是否等價,,ANALOGOUS,跨物種病種查證(pet_bridges_provenance.csv),https://pubmed.ncbi.nlm.nih.gov/29669547/,Canine CLE variants only partly map onto the human Gilliam-Sontheimer scheme -- some appear unique to the dog -- and canine facial discoid LE essentia
