disease_id,disease_name,drug_node_id,drugbank_id,drug_name,species,evidence_level,is_standard_of_care,pmid,pubmed_url,url,source_name,note
463,"Leukemia, Myeloid, Acute",11,DB00987,cytarabine,dog,case_series,True,36153810,https://pubmed.ncbi.nlm.nih.gov/36153810/,https://pubmed.ncbi.nlm.nih.gov/36153810/,Vet Comp Oncol 2023 (Matsuyama et al.),"Cytarabine (cytosine arabinoside/ARA-C) was the backbone antimetabolite in a doxorubicin+cytarabine protocol for canine myeloid neoplasia (incl. AML); 7/11 dogs achieved remission, median survival 369 days."
463,"Leukemia, Myeloid, Acute",18,DB00997,doxorubicin,dog,case_series,False,36153810,https://pubmed.ncbi.nlm.nih.gov/36153810/,https://pubmed.ncbi.nlm.nih.gov/36153810/,Vet Comp Oncol 2023 (Matsuyama et al.),"Doxorubicin was combined with cytarabine to treat 11 dogs with myeloid neoplasia (MDS/AML); the combination induced remission in 7/11 dogs (median survival 369 days), with cardiac toxicity noted as a monitoring concern."
468,Colorectal Neoplasms,136,DB00554,piroxicam,dog,case_series,False,41408490,https://pubmed.ncbi.nlm.nih.gov/41408490/,https://pubmed.ncbi.nlm.nih.gov/41408490/,"Veterinary Record (Ng et al., retrospective case series of 8 dogs)","Piroxicam (COX-inhibiting NSAID) suppositories palliated canine rectal carcinoma when curative surgery was not done; 4/8 dogs had owner-reported clinical benefit (2 partial, 2 complete resolution of signs) and some tumor stabilization/regression."
471,"Carcinoma, Non-Small-Cell Lung",731,DB00361,vinorelbine,dog,prospective_trial,True,38133215,https://pubmed.ncbi.nlm.nih.gov/38133215/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747721/,Vet Sci 2023 (Vinorelbine as First-Line Treatment in Stage IV Canine Primary Pulmonary Carcinoma),Vinorelbine used first-line for canine primary pulmonary (non-small-cell) carcinoma; 8/10 stage IV dogs achieved partial response (median TTP 88 d). NOTE: pool name field for DB00361 is mislabeled 'melphalan'; DrugBank DB00361 is vinorelbine (melphalan is DB01042).
482,"Carcinoma, Hepatocellular",206,DB00398,sorafenib,dog,prospective_trial,False,32443457,https://pubmed.ncbi.nlm.nih.gov/32443457/,https://pmc.ncbi.nlm.nih.gov/articles/PMC7281367/,Cancers (Basel) 2020 (Sorafenib for Unresectable HCC in Dogs),"In dogs with unresectable hepatocellular carcinoma, sorafenib (n=7) gave median time to progression of 363 days vs 27 days for metronomic chemo, with acceptable safety; active but investigational (not yet SOC) in dogs."
495,Thyroid Neoplasms,18,DB00997,doxorubicin,dog,case_series,False,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3157075/,"Can Vet J 2011 retrospective, surgically excised canine thyroid carcinoma","Doxorubicin produced documented complete and partial remissions in dogs with thyroid carcinoma (incl. pulmonary metastasis) and is the recognized cytotoxic used for measurable/metastatic/high-risk disease, though this study found no survival gain over surgery alone."
454,Hypertension,266,DB00542,benazepril,dog,guideline,True,30353952,https://pubmed.ncbi.nlm.nih.gov/30353952/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6271319/,"ACVIM consensus statement 2018 (Acierno et al., JVIM)",The ACVIM consensus recommends an ACE inhibitor (benazepril 0.5-2.0 mg/kg PO q12h) as the initial antihypertensive drug of choice in hypertensive dogs; also used as an adjunctive agent in cats.
454,Hypertension,511,DB00584,enalapril,dog,guideline,True,30353952,https://pubmed.ncbi.nlm.nih.gov/30353952/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6271319/,"ACVIM consensus statement 2018 (Acierno et al., JVIM)",The ACVIM consensus recommends an ACE inhibitor (enalapril 0.5-2.0 mg/kg PO q12h) as the initial antihypertensive drug of choice in hypertensive dogs.
454,Hypertension,192,DB01275,hydralazine,dog/cat,guideline,False,30353952,https://pubmed.ncbi.nlm.nih.gov/30353952/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6271319/,"ACVIM consensus statement 2018 (Acierno et al., JVIM)",The ACVIM consensus lists hydralazine (0.5-2 mg/kg q12h) as a rapid-onset vasodilator for rapid reduction of blood pressure in hypertensive emergencies in both dogs and cats.
455,Asthma,163,DB00588,fluticasone propionate,cat,review,True,,,https://todaysveterinarypractice.com/respiratory-medicine/asthma-in-cats-management-guidelines/,Asthma in Cats: Management Guidelines (Today's Veterinary Practice),"Inhaled fluticasone propionate is a mainstay maintenance anti-inflammatory therapy for feline asthma, effective at suppressing airway inflammation with no HPA-axis suppression at standard doses."
