disease,rank,drug,drugbank,score
Hypertension,1,DB00722,DB00722,9.02
Hypertension,2,DB00492,DB00492,8.48
Hypertension,3,DB00881,DB00881,8.48
Hypertension,4,DB00519,DB00519,8.47
Hypertension,5,furosemide,DB00695,8.37
Hypertension,6,DB00178,DB00178,8.34
Hypertension,7,DB00214,DB00214,8.15
Hypertension,8,losartan,DB00678,8.14
Hypertension,9,DB00692,DB00692,8.12
Hypertension,10,DB01197,DB01197,7.96
Hypertension,11,DB00691,DB00691,7.87
Hypertension,12,DB01029,DB01029,7.86
Hypertension,13,DB00887,DB00887,7.67
Hypertension,14,DB01210,DB01210,6.72
Hypertension,15,DB00988,DB00988,6.53
Hypertension,16,DB01088,DB01088,6.48
Hypertension,17,DB00657,DB00657,6.44
Hypertension,18,DB00575,DB00575,6.20
Hypertension,19,DB01148,DB01148,6.16
Hypertension,20,DB00880,DB00880,5.98
Hypertension,21,DB00999,DB00999,5.94
Hypertension,22,spironolactone,DB00421,5.85
Hypertension,23,DB00524,DB00524,5.76
Hypertension,24,DB01193,DB01193,5.36
Hypertension,25,DB00310,DB00310,5.32
Hypertension,26,DB04861,DB04861,5.20
Hypertension,27,DB00790,DB00790,4.81
Hypertension,28,DB00903,DB00903,4.76
Hypertension,29,DB00436,DB00436,4.47
Hypertension,30,DB00808,DB00808,4.39
Hypertension,31,DB01021,DB01021,3.93
Hypertension,32,atenolol,DB00335,3.92
Hypertension,33,digoxin,DB00390,3.86
Hypertension,34,DB00232,DB00232,3.83
Hypertension,35,DB00968,DB00968,3.46
Hypertension,36,DB01203,DB01203,3.40
Hypertension,37,DB00275,DB00275,3.36
Hypertension,38,DB00796,DB00796,3.35
Hypertension,39,DB00876,DB00876,3.32
Hypertension,40,DB00800,DB00800,3.30
Hypertension,41,DB08822,DB08822,3.29
Hypertension,42,DB00177,DB00177,3.16
Hypertension,43,DB00457,DB00457,3.15
Hypertension,44,DB09477,DB09477,3.10
Hypertension,45,DB01162,DB01162,3.06
Hypertension,46,DB00590,DB00590,2.97
Hypertension,47,DB01359,DB01359,2.94
Hypertension,48,DB00571,DB00571,2.86
Hypertension,49,DB00270,DB00270,2.84
Hypertension,50,DB00622,DB00622,2.79
Asthma,1,DB00620,DB00620,7.31
Asthma,2,methylprednisolone,DB00959,7.25
Asthma,3,cyclosporine,DB00091,7.21
Asthma,4,DB01234,DB01234,7.13
Asthma,5,DB00864,DB00864,7.09
Asthma,6,DB00741,DB00741,6.87
Asthma,7,DB01003,DB01003,6.84
Asthma,8,DB01410,DB01410,6.65
Asthma,9,DB00394,DB00394,6.64
Asthma,10,DB00764,DB00764,6.55
Asthma,11,DB00852,DB00852,6.34
Asthma,12,DB00180,DB00180,6.31
Asthma,13,DB00668,DB00668,6.25
Asthma,14,DB00549,DB00549,6.17
Asthma,15,DB00816,DB00816,6.16
Asthma,16,prednisone,DB00635,6.12
Asthma,17,DB01291,DB01291,6.08
Asthma,18,DB00938,DB00938,6.07
Asthma,19,DB00221,DB00221,6.07
Asthma,20,DB00901,DB00901,6.07
Asthma,21,DB00983,DB00983,6.07
Asthma,22,DB01364,DB01364,6.05
Asthma,23,DB00471,DB00471,6.05
Asthma,24,DB00651,DB00651,6.04
Asthma,25,DB01223,DB01223,6.04
Asthma,26,DB00332,DB00332,6.02
Asthma,27,DB00716,DB00716,6.01
Asthma,28,DB00744,DB00744,5.96
Asthma,29,DB01064,DB01064,5.79
Asthma,30,DB00443,DB00443,5.52
Asthma,31,DB01380,DB01380,5.47
Asthma,32,DB00535,DB00535,4.88
Asthma,33,DB00218,DB00218,4.71
Asthma,34,DB06151,DB06151,4.63
Asthma,35,DB01505,DB01505,4.41
Asthma,36,azathioprine,DB00993,4.32
Asthma,37,DB00663,DB00663,4.25
Asthma,38,DB14512,DB14512,4.22
Asthma,39,DB00537,DB00537,4.17
Asthma,40,DB01137,DB01137,4.12
Asthma,41,DB00253,DB00253,4.08
Asthma,42,DB08897,DB08897,3.88
Asthma,43,DB06739,DB06739,3.88
Asthma,44,DB00885,DB00885,3.88
Asthma,45,DB00618,DB00618,3.85
Asthma,46,DB06791,DB06791,3.81
Asthma,47,DB01656,DB01656,3.68
Asthma,48,DB04339,DB04339,3.32
Asthma,49,DB01013,DB01013,2.87
Asthma,50,DB01165,DB01165,2.41
"Dermatitis, Atopic",1,methylprednisolone,DB00959,10.62
"Dermatitis, Atopic",2,DB00443,DB00443,10.52
"Dermatitis, Atopic",3,DB01234,DB01234,10.31
"Dermatitis, Atopic",4,DB00620,DB00620,10.11
"Dermatitis, Atopic",5,DB00741,DB00741,10.00
"Dermatitis, Atopic",6,prednisone,DB00635,9.87
"Dermatitis, Atopic",7,DB01380,DB01380,9.83
"Dermatitis, Atopic",8,azathioprine,DB00993,8.86
"Dermatitis, Atopic",9,mycophenolate,DB00688,7.79
"Dermatitis, Atopic",10,DB00545,DB00545,6.40
"Dermatitis, Atopic",11,DB01611,DB01611,4.19
"Dermatitis, Atopic",12,ursodiol,DB01586,1.11
"Dermatitis, Atopic",13,leflunomide,DB01097,1.04
"Dermatitis, Atopic",14,chlorambucil,DB00291,0.80
"Dermatitis, Atopic",15,DB00759,DB00759,0.78
"Dermatitis, Atopic",16,lomustine,DB01206,0.70
"Dermatitis, Atopic",17,DB00608,DB00608,0.68
"Dermatitis, Atopic",18,DB11817,DB11817,0.66
"Dermatitis, Atopic",19,DB00945,DB00945,0.61
"Dermatitis, Atopic",20,DB03904,DB03904,0.54
"Dermatitis, Atopic",21,DB00591,DB00591,0.53
"Dermatitis, Atopic",22,DB01260,DB01260,0.51
"Dermatitis, Atopic",23,DB00663,DB00663,0.49
"Dermatitis, Atopic",24,DB00253,DB00253,0.49
"Dermatitis, Atopic",25,DB00936,DB00936,0.42
"Dermatitis, Atopic",26,DB11611,DB11611,0.42
"Dermatitis, Atopic",27,clopidogrel,DB00758,0.38
"Dermatitis, Atopic",28,DB01410,DB01410,0.34
"Dermatitis, Atopic",29,DB00394,DB00394,0.34
"Dermatitis, Atopic",30,DB00588,DB00588,0.34
"Dermatitis, Atopic",31,DB08799,DB08799,0.34
"Dermatitis, Atopic",32,DB01084,DB01084,0.33
"Dermatitis, Atopic",33,DB08802,DB08802,0.33
"Dermatitis, Atopic",34,DB14540,DB14540,0.33
"Dermatitis, Atopic",35,DB01246,DB01246,0.33
"Dermatitis, Atopic",36,DB00557,DB00557,0.32
"Dermatitis, Atopic",37,DB00768,DB00768,0.30
"Dermatitis, Atopic",38,DB11921,DB11921,0.30
"Dermatitis, Atopic",39,DB00337,DB00337,0.29
"Dermatitis, Atopic",40,DB00920,DB00920,0.29
"Dermatitis, Atopic",41,DB00764,DB00764,0.26
"Dermatitis, Atopic",42,DB00770,DB00770,0.25
"Dermatitis, Atopic",43,DB00751,DB00751,0.24
"Dermatitis, Atopic",44,DB00114,DB00114,0.23
"Dermatitis, Atopic",45,DB00926,DB00926,0.23
"Dermatitis, Atopic",46,DB00271,DB00271,0.23
"Dermatitis, Atopic",47,DB12877,DB12877,0.23
"Dermatitis, Atopic",48,DB08906,DB08906,0.23
"Dermatitis, Atopic",49,DB08803,DB08803,0.22
"Dermatitis, Atopic",50,DB01142,DB01142,0.22
Breast Neoplasms,1,vincristine,DB00541,13.98
Breast Neoplasms,2,DB00851,DB00851,11.21
